Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2447113.5,1987-11-14,7,1.0199999999999999e+26,598339743.3031379,-4142886169.9909396,-1710609122.3626432,462456.25296710926,64157.58192215874,14749.483022611357,86442140.63875718
2447114.5,1987-11-15,7,1.0199999999999999e+26,598802196.3412979,-4142821990.1823044,-1710594363.70232,462449.82252346515,64202.03525158294,14767.837604352095,86442140.63875718
2447115.5,1987-11-16,7,1.0199999999999999e+26,599264642.946526,-4142757765.9206314,-1710579586.687473,462443.38710347575,64246.48799675503,14786.192070521633,86442140.63875718
2447116.5,1987-11-17,7,1.0199999999999999e+26,599727083.1138461,-4142693497.206506,-1710564791.3182178,462436.9467072017,64290.940157210374,14804.546420928187,86442140.63875718
2447117.5,1987-11-18,7,1.0199999999999999e+26,600189516.8382818,-4142629184.040512,-1710549977.5946698,462430.50133470446,64335.391732484255,14822.900655379959,86442140.63875718
2447118.5,1987-11-19,7,1.0199999999999999e+26,600651944.1148567,-4142564826.423236,-1710535145.5169456,462424.05098604487,64379.84272211192,14841.254773685096,86442140.63875718
2447119.5,1987-11-20,7,1.0199999999999999e+26,601114364.938595,-4142500424.355263,-1710520295.0851614,462417.5956612844,64424.29312562851,14859.608775651726,86442140.63875718
2447120.5,1987-11-21,7,1.0199999999999999e+26,601576779.3045206,-4142435977.83718,-1710505426.2994335,462411.1353604841,64468.74294256908,14877.962661087953,86442140.63875718
2447121.5,1987-11-22,7,1.0199999999999999e+26,602039187.2076573,-4142371486.8695736,-1710490539.1598783,462404.6700837043,64513.192172471,14896.316429802699,86442140.63875718
2447122.5,1987-11-23,7,1.0199999999999999e+26,602501588.6430293,-4142306951.4530306,-1710475633.6666129,462398.1998310071,64557.64081486833,14914.67008160369,86442140.63875718
2447123.5,1987-11-24,7,1.0199999999999999e+26,602963983.6056608,-4142242371.5881395,-1710460709.8197541,462391.72460245376,64602.08886929623,14933.02361629904,86442140.63875718
2447124.5,1987-11-25,7,1.0199999999999999e+26,603426372.0905757,-4142177747.2754884,-1710445767.6194193,462385.24439810566,64646.53633528981,14951.377033696846,86442140.63875718
2447125.5,1987-11-26,7,1.0199999999999999e+26,603888754.0927984,-4142113078.5156655,-1710430807.0657258,462378.7592180244,64690.98321238412,14969.730333605197,86442140.63875718
2447126.5,1987-11-27,7,1.0199999999999999e+26,604351129.6073532,-4142048365.30926,-1710415828.1587913,462372.2690622711,64735.42950011423,14988.083515832159,86442140.63875718
2447127.5,1987-11-28,7,1.0199999999999999e+26,604813498.6292644,-4141983607.656862,-1710400830.8987334,462365.7739309076,64779.87519801511,15006.43658018578,86442140.63875718
2447128.5,1987-11-29,7,1.0199999999999999e+26,605275861.1535565,-4141918805.5590606,-1710385815.2856703,462359.2738239953,64824.32030562171,15024.789526474095,86442140.63875718
2447129.5,1987-11-30,7,1.0199999999999999e+26,605738217.1752539,-4141853959.0164475,-1710370781.31972,462352.7687415959,64868.764822468955,15043.142354505115,86442140.63875718
2447130.5,1987-12-01,7,1.0199999999999999e+26,606200566.6893812,-4141789068.029613,-1710355729.0010006,462346.2586837711,64913.20874809173,15061.495064086843,86442140.63875718
2447131.5,1987-12-02,7,1.0199999999999999e+26,606662909.690963,-4141724132.5991488,-1710340658.3296313,462339.7436505827,64957.65208202486,15079.847655027264,86442140.63875718
2447132.5,1987-12-03,7,1.0199999999999999e+26,607125246.1750239,-4141659152.725646,-1710325569.3057303,462333.2236420923,65002.09482380316,15098.20012713434,86442140.63875718
2447133.5,1987-12-04,7,1.0199999999999999e+26,607587576.1365888,-4141594128.4096985,-1710310461.9294167,462326.6986583619,65046.53697296138,15116.552480216023,86442140.63875718
2447134.5,1987-12-05,7,1.0199999999999999e+26,608049899.5706823,-4141529059.651898,-1710295336.2008097,462320.1686994534,65090.97852903426,15134.904714080245,86442140.63875718
2447135.5,1987-12-06,7,1.0199999999999999e+26,608512216.4723293,-4141463946.4528384,-1710280192.1200283,462313.6337654287,65135.419491556444,15153.256828534919,86442140.63875718
2447136.5,1987-12-07,7,1.0199999999999999e+26,608974526.8365548,-4141398788.8131127,-1710265029.6871924,462307.0938563498,65179.85986006263,15171.608823387949,86442140.63875718
2447137.5,1987-12-08,7,1.0199999999999999e+26,609436830.6583836,-4141333586.7333164,-1710249848.9024215,462300.54897227895,65224.299634087365,15189.960698447214,86442140.63875718
2447138.5,1987-12-09,7,1.0199999999999999e+26,609899127.9328411,-4141268340.214043,-1710234649.7658355,462293.999113278,65268.73881316527,15208.312453520579,86442140.63875718
2447139.5,1987-12-10,7,1.0199999999999999e+26,610361418.6549519,-4141203049.2558885,-1710219432.2775545,462287.44427940913,65313.17739683085,15226.664088415895,86442140.63875718
2447140.5,1987-12-11,7,1.0199999999999999e+26,610823702.8197416,-4141137713.859448,-1710204196.4376988,462280.88447073486,65357.61538461858,15245.015602940994,86442140.63875718
2447141.5,1987-12-12,7,1.0199999999999999e+26,611285980.4222351,-4141072334.025318,-1710188942.246389,462274.3196873171,65402.05277606293,15263.366996903687,86442140.63875718
2447142.5,1987-12-13,7,1.0199999999999999e+26,611748251.457458,-4141006909.7540946,-1710173669.7037451,462267.7499292185,65446.489570698315,15281.718270111782,86442140.63875718
