Time [JD],Time [UTC],Tag,Mass [kg],posx [code],posy [code],posz [code],velx [code],vely [code],velz [code],accx [code],accy [code],accz [code]
2446261.5,1985-07-15,10,721.9,-230781277.5088788,510931795.8939934,110344531.28249237,-1246263.1935688476,209180.35891448363,264405.9976060794,1232.953951221594,-2725.858399965046,-587.4645332834882
2446262.5,1985-07-16,10,721.9,-232026923.9165649,511139614.9089042,110608643.69450635,-1245029.317507837,206459.2535536629,263818.9726422343,1234.7857625280876,-2716.3615542042876,-586.5865150726588
2446263.5,1985-07-17,10,721.9,-233271335.53666228,511344717.5589591,110872169.52037469,-1243793.622739424,203747.6212922091,263232.82512269786,1236.5914562968317,-2706.9121630112877,-585.7096488990785
2446264.5,1985-07-18,10,721.9,-234514510.56347096,511547113.2935799,111135109.63696232,-1242556.13522737,201045.41482437984,262647.55388536275,1238.3713392398556,-2697.509928862121,-584.8339547904781
2446265.5,1985-07-19,10,721.9,-235756447.21710196,511746811.51503086,111397464.91996212,-1241316.8806305933,198352.58714096626,262063.15774832197,1240.125714341338,-2688.1545562162464,-583.9594523202079
2446266.5,1985-07-20,10,721.9,-236997143.7431744,511943821.57871467,111659236.24387534,-1240075.8843068718,195669.09152731497,261479.63551031944,1241.8548809067163,-2678.845751506088,-583.0861606152625
2446267.5,1985-07-21,10,721.9,-238236598.41251612,512138152.79346573,111920424.4819925,-1238833.1713164977,192994.88156136015,260896.9859511922,1243.559134611115,-2669.583223126575,-582.2140983641686
2446268.5,1985-07-22,10,721.9,-239474809.52086797,512329814.42184186,112181030.50637467,-1237588.7664258843,190329.91111166624,260315.20783230517,1245.2387675470866,-2660.3666814246326,-581.3432838247328
2446269.5,1985-07-23,10,721.9,-240711775.3885918,512518815.68041396,112441055.18783525,-1236342.6941111241,187674.13433548115,259734.29989697787,1246.8940682716761,-2651.195838688631,-580.4737348316579
2446270.5,1985-07-24,10,721.9,-241947494.36038184,512705165.74005365,112700499.39592206,-1235094.9785615017,185027.5056768001,259154.26087090388,1248.5253218528364,-2642.070409137783,-579.605468804022
2446271.5,1985-07-25,10,721.9,-243181964.80497968,512888873.72621924,112959363.99890006,-1233845.6436829602,182389.97986443993,258575.0894625627,1250.132809915178,-2632.99010891152,-578.7385027526316
2446272.5,1985-07-26,10,721.9,-244415185.11489257,513069948.7192394,113217649.86373416,-1232594.713101521,179761.51191012425,257996.78436362447,1251.7168106850836,-2623.954656058821,-577.8728532872424
2446273.5,1985-07-27,10,721.9,-245647153.70611525,513248399.7545952,113475357.85607275,-1231342.2101666604,177142.05710657913,257419.3442493474,1253.2775990351934,-2614.963770527527,-577.0085366236597
2446274.5,1985-07-28,10,721.9,-246877869.01785505,513424235.82320017,113732488.84023143,-1230088.1579546416,174531.57102563957,256842.76777896823,1254.8154465282628,-2606.017174153615,-576.1455685907105
2446275.5,1985-07-29,10,721.9,-248107329.51226032,513597465.8716783,113989043.6791772,-1228832.5792718024,171930.00951636664,256267.0535960858,1256.33062146041,-2597.1145906504576,-575.2839646370973
2446276.5,1985-07-30,10,721.9,-249335533.67415214,513768098.8026407,114245023.23451294,-1227575.4966578004,169337.32870317553,255692.2003290378,1257.8233889037542,-2588.255745598067,-574.423739838131
